image_path,prompt,attractiveness,clip_score,aesthetic,image_reward,pick_score,hps
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\37_normal.jpg,a portrait photo of a face,1.0,29.25962257385254,6.090982437133789,0.8434072732925415,21.441038131713867,0.31689453125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\37_unattractive.jpg,a portrait photo of a face,0.0,31.27810287475586,6.539788246154785,1.3867591619491577,21.435733795166016,0.30224609375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\38_attractive.jpg,a portrait photo of a face,2.0,28.828895568847656,6.400187015533447,1.37528395652771,22.86839485168457,0.3349609375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\38_normal.jpg,a portrait photo of a face,1.0,27.342668533325195,5.391909599304199,1.7929861545562744,19.98123550415039,0.315673828125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\38_unattractive.jpg,a portrait photo of a face,0.0,26.725011825561523,5.971180438995361,1.7087082862854004,20.067615509033203,0.305419921875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\39_attractive.jpg,a portrait photo of a face,2.0,27.407991409301758,5.734207630157471,0.6690769195556641,22.607540130615234,0.3076171875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\39_normal.jpg,a portrait photo of a face,1.0,29.764097213745117,5.669427871704102,1.4830366373062134,21.715917587280273,0.31201171875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\39_unattractive.jpg,a portrait photo of a face,0.0,28.51007843017578,6.237239837646484,1.695968508720398,20.41524887084961,0.3095703125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\3_attractive.jpg,a portrait photo of a face,2.0,28.739505767822266,6.1387763023376465,1.2451081275939941,22.54366111755371,0.31787109375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\3_normal.jpg,a portrait photo of a face,1.0,28.901840209960938,6.091166019439697,1.5524632930755615,22.262405395507812,0.31640625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\3_unattractive.jpg,a portrait photo of a face,0.0,28.951513290405273,5.784197807312012,1.7616794109344482,20.881790161132812,0.310302734375
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\40_attractive.jpg,a portrait photo of a face,2.0,29.006389617919922,6.458709239959717,1.2644232511520386,22.75535011291504,0.3388671875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\40_normal.jpg,a portrait photo of a face,1.0,29.318370819091797,6.464598655700684,1.190230131149292,22.250303268432617,0.313720703125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\40_unattractive.jpg,a portrait photo of a face,0.0,26.511991500854492,6.639132499694824,1.7876137495040894,20.46500587463379,0.30810546875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\41_attractive.jpg,a portrait photo of a face,2.0,27.863454818725586,6.103625297546387,1.1938446760177612,22.35256576538086,0.30712890625
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\41_normal.jpg,a portrait photo of a face,1.0,27.782907485961914,5.948891639709473,0.8548941016197205,22.465312957763672,0.2998046875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\41_unattractive.jpg,a portrait photo of a face,0.0,29.611644744873047,5.569051742553711,0.8265073299407959,21.986560821533203,0.2841796875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\42_attractive.jpg,a portrait photo of a face,2.0,26.58881187438965,5.795190334320068,0.6589410305023193,22.47439956665039,0.294921875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\42_normal.jpg,a portrait photo of a face,1.0,26.78690528869629,5.376588821411133,1.289137363433838,21.201507568359375,0.294921875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\42_unattractive.jpg,a portrait photo of a face,0.0,28.273523330688477,5.966439723968506,1.5305018424987793,21.058385848999023,0.317138671875
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\43_attractive.jpg,a portrait photo of a face,2.0,28.026384353637695,6.173663139343262,0.8595641851425171,22.03899574279785,0.31689453125
C:\\Users\\hgm1g14\\Documents\\AI_Manipulation_Hackathon\\generated_images_flux\\43_normal.jpg,a portrait photo of a face,1.0,29.75168800354004,5.62912130355835,1.1987522840499878,21.369840621948242,0.32373046875
